folder,folder_idx,picked_images,top1_species,top1_score,top5_species,top5_scores,status_code,error
120_07930_australis,120,6ee5cc09-b76f-49e7-9d7c-fcb3e47186c8.jpg;3376f76b-d602-4dac-9780-4e425ea58f91.jpg;8f390098-98bb-4cfe-859a-e60fec95e58e.jpg,Cytisus oromediterraneus,0.86287,Cytisus oromediterraneus;Cytisus scoparius;Melicope glaberrima;Exocarpos neocaledonicus;Elaeodendron humbertii,0.86287;0.03788;0.02801;0.02435;0.02272,200,
121_07931_fistula,121,fc11854b-d39b-4009-90ed-ae94aca127de.jpg;5c214112-3c3c-4acb-9a3e-204e1a6251bb.jpg;286368eb-2a4d-427b-8248-2e3e787dbf2f.jpg,Cassia fistula,0.93413,Cassia fistula;Cassia abbreviata;Cassia sieberiana;Cassia ferruginea;Senna spectabilis,0.93413;0.02326;0.01344;0.00898;0.00429,200,
122_07933_siliqua,122,9d37cc74-f606-4b42-9444-445e177eba7c.jpg;76fc55d9-eb64-4924-b82d-f1ac5e94b679.jpg;7b971d30-0742-4f46-886e-ee5f4ae9ff45.jpg,Ceratonia siliqua,0.88207,Ceratonia siliqua;Smilax aspera;Pistacia lentiscus;Schotia brachypetala;Searsia crenulata,0.88207;0.02392;0.01423;0.01114;0.00995,200,
123_07934_canadensis,123,6df71951-3eaa-4c2e-a032-7938a314a60d.jpg;367f5d96-3844-4286-92a0-386d10aa559c.jpg;70802e8f-26fd-47f7-bff6-9828e4b6d4b9.jpg,Cercis canadensis,0.96142,Cercis canadensis;Menispermum dauricum;Sinomenium acutum;Cercis siliquastrum;Dichondra macrocalyx,0.96142;0.02121;0.01647;0.0114;0.00918,200,
124_07935_occidentalis,124,dec6fd97-31e8-4f14-a126-1448dc7b369b.jpg;2e5029cf-c876-4771-a833-f9f23c2b54d7.jpg;a6b3c115-e4a5-453e-a936-37832b7f99b5.jpg,Cercis canadensis,0.62456,Cercis canadensis;Cercis siliquastrum;Cercis orbiculata;Bauhinia lunarioides;Cercis occidentalis,0.62456;0.50509;0.12461;0.08576;0.06061,200,
125_07942_proliferus,125,d320625a-ed36-4880-8db5-75688e5c260e.jpg;7140f9c0-120e-4abe-84fa-7899a8949c9a.jpg;f805679b-140f-44fe-abcb-6278d8e11f39.jpg,Chamaecytisus proliferus,0.94024,Chamaecytisus proliferus;Chamaecytisus lindemannii;Anagyris foetida;Condea albida;Buddleja davidii,0.94024;0.01978;0.00849;0.00604;0.00591,200,
126_07949_secundiflorum,126,a4044edf-ea96-4636-bede-a6f33460c123.jpg;43dd3d6f-38ec-4903-8655-8736133caa35.jpg;133e7f07-5da1-4581-b912-f3a8506d60dd.jpg,Dermatophyllum secundiflorum,0.81528,Dermatophyllum secundiflorum;Schotia latifolia;Guaiacum sanctum;Psydrax odoratus;Guaiacum officinale,0.81528;0.03474;0.03187;0.02354;0.01752,200,
127_07954_ebano,127,0ed590bd-9c1a-4508-a7a5-372f57d7edb4.jpg;f77085bd-c4de-477a-ae23-63ed09eab9c9.jpg;ab37d4e6-0f29-4d07-9a03-b195597f3867.jpg,Ebenopsis ebano,0.38649,Ebenopsis ebano;Chloroleucon tortum;Chloroleucon mangense;Erythrostemon mexicanus;Ebenopsis confinis,0.38649;0.09732;0.06793;0.06601;0.04275,200,
128_07955_cyclocarpum,128,a692f04f-afb3-4763-8cfa-39441f935317.jpg;b925b951-13c9-4616-acfd-86e0eaad8985.jpg;1ad2f447-e26b-4d9c-b7c6-ba5ea935d9c8.jpg,Enterolobium cyclocarpum,0.74488,Enterolobium cyclocarpum;Samanea saman;Enterolobium contortisiliquum;Melia azedarach;Cordyla africana,0.74488;0.2078;0.11182;0.01198;0.01029,200,
129_07958_mexicanus,129,212256d9-0bee-4af3-a862-f5246e65ecd0.jpg;b56166af-8ff7-4476-931a-6622c35fb2e6.jpg;80b4f51f-8de2-4e64-bf6b-a8401ce4d65d.jpg,Erythrostemon mexicanus,0.55681,Erythrostemon mexicanus;Erythrostemon gilliesii;Senna pendula;Tipuana tipu;Caesalpinia pulcherrima,0.55681;0.11974;0.04928;0.04093;0.03848,200,
130_07963_triacanthos,130,f8c1ee2b-7e26-4830-8417-d14d3a41d1d6.jpg;e702e3a4-b693-4949-91bb-09ab20ab4dd3.jpg;cd3cf113-958c-4c31-9b54-205c0141542c.jpg,Gleditsia triacanthos,0.36441,Gleditsia triacanthos;Quercus laurifolia;Quercus texana;Gleditsia sinensis;Chamaecyparis thyoides,0.36441;0.15632;0.10105;0.08434;0.07131,200,
131_07964_sepium,131,d53679fc-978a-49e0-bab8-6ff397e5720b.jpg;d7bea719-be99-4295-9928-09247c0fb9d9.jpg;ddee44e5-221c-4bf6-bdb8-0970c89c2886.jpg,Gliricidia sepium,0.73634,Gliricidia sepium;Lonchocarpus violaceus;Pterocarpus erinaceus;Tamarix laxa;Heliocarpus terebinthinaceus,0.73634;0.1308;0.08722;0.03869;0.01591,200,
132_07966_bonduc,132,d8f32475-bd62-4dce-aa83-20e30b330d57.jpg;4412a129-bb04-491c-ba6f-2523288305f3.jpg;21ed3f8e-729c-4301-bccd-1f65a3039274.jpg,Guilandina bonduc,0.53742,Guilandina bonduc;Guilandina minax;Amorpha fruticosa;Bixa orellana;Guilandina ciliata,0.53742;0.04497;0.0425;0.03978;0.02198,200,
133_07967_dioicus,133,ae8dc63b-8f64-40b9-b384-e5938f9e53e3.jpg;f2fab775-b777-4f5f-8d83-22d9c2c42751.jpg;e040bdb0-747d-4179-9424-8dd4f35d3f3d.jpg,Gymnocladus dioicus,0.45375,Gymnocladus dioicus;Juglans mandshurica;Symphoricarpos orbiculatus;Maackia amurensis;Staphylea pinnata,0.45375;0.09194;0.08061;0.07047;0.04686,200,
134_07968_violacea,134,f4caab65-da4a-4f27-a69b-d2fa340ee995.jpg;e29fc16e-e005-4c1f-b00a-fc92deb705b9.jpg;e3b7293d-0d1f-4d21-b881-c53ab8f16571.jpg,Hardenbergia violacea,0.6818,Hardenbergia violacea;Hardenbergia comptoniana;Maekawaea rhytidophylla;Grona triflora;Glycine tabacina,0.6818;0.24472;0.05911;0.04083;0.0155,200,
135_07978_anagyroides,135,1c8f8b88-c81b-4a0e-bfb2-1248c09514ef.jpg;d7c0a166-870c-4a38-875b-fd3b0237033d.jpg;f8a5b8a1-c67a-497f-aad5-ed1ffb11b0d9.jpg,Laburnum anagyroides,0.63654,Laburnum anagyroides;Laburnum alpinum;Cytisus villosus;Laburnum × watereri;Cytisophyllum sessilifolium,0.63654;0.29409;0.01458;0.00958;0.00848,200,
136_07993_leucocephala,136,623340c6-a787-4e89-88d1-b0e52ee501c4.jpg;b5e1d513-a8c0-4577-a91e-56da806b0e59.jpg;f66ef22a-6947-4289-8a88-b54fcee90891.jpg,Leucaena leucocephala,0.97094,Leucaena leucocephala;Acacia mearnsii;Leucaena diversifolia;Mimosa bimucronata;Leucaena esculenta,0.97094;0.03693;0.02361;0.01996;0.01381,200,
